"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=281c6cd6-1bbb-430f-a9bc-67f3d932edfb",1,0,300,295,295,295,4701,0.02
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=2a987aed-19b9-495e-843f-9b134d92ea5a",1,0,800,800,800,800,15,0.02
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=2a987aed-19b9-495e-843f-9b134d92ea5a",1,0,200,197,197,197,4701,0.02
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=2af1ed55-f154-40d8-aa77-5e92fb3a6fa1",1,0,770,772,772,772,15,0.02
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=2af1ed55-f154-40d8-aa77-5e92fb3a6fa1",1,0,180,179,179,179,4701,0.02
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=2b9c3b50-3a51-44f1-8559-2d277a669d3b",1,0,300,302,302,302,15,0.02
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=2b9c3b50-3a51-44f1-8559-2d277a669d3b",1,0,180,181,181,181,4701,0.02
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=2c1e1f2f-f5f6-4349-9388-f348da3c4dd9",0,0,0,0,0,0,0,0.00
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=2c1e1f2f-f5f6-4349-9388-f348da3c4dd9",0,0,0,0,0,0,0,0.00
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=2c65a251-aef6-418c-99a2-5313faf4ea54",1,0,2700,2687,2687,2687,15,0.02
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=2c65a251-aef6-418c-99a2-5313faf4ea54",1,0,380,384,384,384,4701,0.02
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=2e1c3fb7-a1ec-4970-8d9c-2aee37aa3bcd",0,0,0,0,0,0,0,0.00
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=2e1c3fb7-a1ec-4970-8d9c-2aee37aa3bcd",0,0,0,0,0,0,0,0.00
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=2f4c3e1f-a2c6-4c57-800d-32f6251cf4ff",1,0,480,475,475,475,15,0.02
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=2f4c3e1f-a2c6-4c57-800d-32f6251cf4ff",1,0,180,180,180,180,4701,0.02
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=310b10f8-f331-4e74-90fd-a38434c2a165",1,0,1300,1339,1339,1339,15,0.02
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=310b10f8-f331-4e74-90fd-a38434c2a165",1,0,260,261,261,261,4701,0.02
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=31f2afea-ac16-4b9f-a402-af2385d4c5e5",1,0,790,794,794,794,15,0.02
