"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=4704bb88-24e8-4dbb-a259-33eaa934bd35",0,0,0,0,0,0,0,0.00
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=4732f4f6-b8b7-4125-82d8-507fcf1cc8cd",0,0,0,0,0,0,0,0.00
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=4732f4f6-b8b7-4125-82d8-507fcf1cc8cd",0,0,0,0,0,0,0,0.00
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=487b58fb-1845-49b9-b733-f93a6372df3b",0,0,0,0,0,0,0,0.00
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=487b58fb-1845-49b9-b733-f93a6372df3b",0,0,0,0,0,0,0,0.00
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=48c5468d-05af-46cc-950a-6cc5dac10a11",1,0,1300,1301,1301,1301,15,0.03
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=48c5468d-05af-46cc-950a-6cc5dac10a11",1,0,310,308,308,308,4701,0.03
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=48c8c5d0-8c69-46ef-b013-af7c4375d6d3",1,0,4600,4569,4569,4569,15,0.03
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=48c8c5d0-8c69-46ef-b013-af7c4375d6d3",1,0,180,178,178,178,4701,0.03
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=49174de8-9b1c-4bd7-bccc-43c884e97f84",1,0,4700,4656,4656,4656,15,0.03
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=49174de8-9b1c-4bd7-bccc-43c884e97f84",1,0,190,190,190,190,4701,0.03
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=4b2aa537-57bd-466f-853f-9bd0c8b41ad1",1,0,4000,4027,4027,4027,15,0.03
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=4b2aa537-57bd-466f-853f-9bd0c8b41ad1",1,0,280,277,277,277,4701,0.03
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=4b332254-5e76-4c33-84fe-5986ca4e3f34",1,0,3700,3749,3749,3749,15,0.03
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=4b332254-5e76-4c33-84fe-5986ca4e3f34",1,0,280,285,285,285,4701,0.03
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=4b764615-d491-44e7-a262-3726d424cce5",1,0,7600,7561,7561,7561,15,0.03
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=4b764615-d491-44e7-a262-3726d424cce5",1,0,290,291,291,291,4701,0.03
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=4c2d9da0-90f6-4bd4-a756-7fd3a5312e7d",1,0,580,579,579,579,15,0.03
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=4c2d9da0-90f6-4bd4-a756-7fd3a5312e7d",1,0,280,285,285,285,4701,0.03
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=4c5fd07f-7301-4c98-b733-f8bab2374ca4",0,0,0,0,0,0,0,0.00
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=4c5fd07f-7301-4c98-b733-f8bab2374ca4",0,0,0,0,0,0,0,0.00
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=4c6c19b9-0dcc-4e3b-b6e8-27a174a46c85",1,0,7600,7627,7627,7627,15,0.03
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=4c6c19b9-0dcc-4e3b-b6e8-27a174a46c85",1,0,260,261,261,261,4701,0.03
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=4cc2d0d7-9dbf-48dc-8fc7-d55c0833a7cd",0,0,0,0,0,0,0,0.00
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=4cc2d0d7-9dbf-48dc-8fc7-d55c0833a7cd",0,0,0,0,0,0,0,0.00
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=4da31fc4-8cd5-49c6-8602-0fb2bf8a8377",0,0,0,0,0,0,0,0.00
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=4da31fc4-8cd5-49c6-8602-0fb2bf8a8377",0,0,0,0,0,0,0,0.00
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=4ddcc02c-3244-46cc-8cd4-3093d2e40e54",1,0,890,890,890,890,15,0.03
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=4ddcc02c-3244-46cc-8cd4-3093d2e40e54",1,0,550,550,550,550,4701,0.03
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=4e187c9b-a062-4a86-8865-afcb1dc1a131",1,0,1100,1085,1085,1085,15,0.03
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=4e187c9b-a062-4a86-8865-afcb1dc1a131",0,0,0,0,0,0,0,0.00
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=4e36c996-2c02-4cc6-876b-f15c1d78a330",0,0,0,0,0,0,0,0.00
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=4e36c996-2c02-4cc6-876b-f15c1d78a330",0,0,0,0,0,0,0,0.00
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=4f3350db-f03d-4aa7-ae1e-9aa5abf591c6",1,0,1100,1134,1134,1134,15,0.03
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=4f3350db-f03d-4aa7-ae1e-9aa5abf591c6",1,0,370,368,368,368,4701,0.03
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=51487237-cb70-4a05-ac1b-23bea660080d",1,0,1400,1403,1403,1403,15,0.03
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=51487237-cb70-4a05-ac1b-23bea660080d",1,0,500,502,502,502,4701,0.03
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=51d08eb3-6702-47b0-97f5-5637e4abc8d6",0,0,0,0,0,0,0,0.00
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=51d08eb3-6702-47b0-97f5-5637e4abc8d6",0,0,0,0,0,0,0,0.00
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=521b3265-8919-4c42-8f9a-9bc3206c310a",1,0,1600,1576,1576,1576,15,0.03
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=521b3265-8919-4c42-8f9a-9bc3206c310a",1,0,380,377,377,377,4701,0.03
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=524e52c3-0376-4ece-9dce-c8c3ea2cc9ca",1,0,1200,1237,1237,1237,15,0.03
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=524e52c3-0376-4ece-9dce-c8c3ea2cc9ca",1,0,260,256,256,256,4701,0.03
